timestamp,model,prod,spot,memory_util
611.0,A,13,7,0.0
611.0,B,7,13,0.0
611.0,C,11,9,0.0
611.0,D,2,18,0.0
612.0,A,13,7,0.000425982430751395
612.0,B,7,13,0.000425982430751395
612.0,C,11,9,0.000425982430751395
612.0,D,2,18,0.000425982430751395
614.0,A,13,7,0.0010090090756046867
614.0,B,7,13,0.0010090090756046867
614.0,C,11,9,0.0010090090756046867
614.0,D,2,18,0.0010090090756046867
615.691841088902,A,13,7,0.5375887883933832
615.691841088902,B,7,13,0.5375887883933832
615.691841088902,C,12,8,0.5375887883933832
615.691841088902,D,2,18,0.5375887883933832
631.0,A,13,7,0.0
631.0,B,7,13,0.0
631.0,C,12,8,0.0
631.0,D,2,18,0.0
639.0,A,14,6,0.6173782318689446
639.0,B,7,13,0.6173782318689446
639.0,C,12,8,0.6173782318689446
639.0,D,2,18,0.6173782318689446
646.0,A,14,6,0.0
646.0,B,7,13,0.0
646.0,C,12,8,0.0
646.0,D,2,18,0.0
676.0,A,14,6,0.38995770370820415
676.0,B,7,13,0.38995770370820415
676.0,C,12,8,0.38995770370820415
676.0,D,2,18,0.38995770370820415
679.0,A,14,6,0.0
679.0,B,7,13,0.0
679.0,C,12,8,0.0
679.0,D,2,18,0.0
681.0665696142124,A,14,6,0.6068187680522243
681.0665696142124,B,7,13,0.6068187680522243
681.0665696142124,C,13,7,0.6068187680522243
681.0665696142124,D,2,18,0.6068187680522243
705.0,A,14,6,0.38995770370820415
705.0,B,7,13,0.38995770370820415
705.0,C,13,7,0.38995770370820415
705.0,D,2,18,0.38995770370820415
711.0,A,15,5,0.6063448041518424
711.0,B,7,13,0.6063448041518424
711.0,C,13,7,0.6063448041518424
711.0,D,2,18,0.6063448041518424
719.0,A,15,5,0.38995770370820415
719.0,B,7,13,0.38995770370820415
719.0,C,13,7,0.38995770370820415
719.0,D,2,18,0.38995770370820415
720.0,A,15,5,0.0
720.0,B,7,13,0.0
720.0,C,13,7,0.0
720.0,D,2,18,0.0
731.0,A,15,5,0.0
731.0,B,7,13,0.0
731.0,C,13,7,0.0
731.0,D,2,18,0.0
732.0,A,15,5,0.38995770370820415
732.0,B,7,13,0.38995770370820415
732.0,C,13,7,0.38995770370820415
732.0,D,2,18,0.38995770370820415
750.0,A,15,5,0.00038035376796198886
750.0,B,7,13,0.00038035376796198886
750.0,C,12,8,0.00038035376796198886
750.0,D,2,18,0.00038035376796198886
751.0,A,15,5,0.0
751.0,B,7,13,0.0
751.0,C,12,8,0.0
751.0,D,2,18,0.0
752.0,A,15,5,0.38995770370820415
752.0,B,7,13,0.38995770370820415
752.0,C,12,8,0.38995770370820415
752.0,D,2,18,0.38995770370820415
758.0,A,15,5,0.00046013954731855753
758.0,B,7,13,0.00046013954731855753
758.0,C,12,8,0.00046013954731855753
