timestamp,model,prod,spot,memory_util
2.0,A,20,0,0.0
2.0,B,19,1,0.0
2.0,C,20,0,0.0
2.0,D,20,0,0.0
5.0,A,20,0,0.0
5.0,B,19,1,0.0
5.0,C,20,0,0.0
5.0,D,19,1,0.0
9.034184443006525,A,20,0,0.0
9.034184443006525,B,19,1,0.0
9.034184443006525,C,20,0,0.0
9.034184443006525,D,18,2,0.0
12.0,A,20,0,0.0006493823858621622
12.0,B,18,2,0.0006493823858621622
12.0,C,20,0,0.0006493823858621622
12.0,D,18,2,0.0006493823858621622
13.0,A,20,0,0.0010646096334979136
13.0,B,17,3,0.0010646096334979136
13.0,C,20,0,0.0010646096334979136
13.0,D,18,2,0.0010646096334979136
18.0,A,20,0,0.002072527980010799
18.0,B,16,4,0.002072527980010799
18.0,C,20,0,0.002072527980010799
18.0,D,18,2,0.002072527980010799
20.253346051938134,A,20,0,0.0
20.253346051938134,B,16,4,0.0
20.253346051938134,C,20,0,0.0
20.253346051938134,D,17,3,0.0
22.260695005504648,A,20,0,0.0
22.260695005504648,B,16,4,0.0
22.260695005504648,C,20,0,0.0
22.260695005504648,D,16,4,0.0
24.321663202754454,A,20,0,0.0
24.321663202754454,B,16,4,0.0
24.321663202754454,C,20,0,0.0
24.321663202754454,D,15,5,0.0
27.0,A,19,1,0.0
27.0,B,16,4,0.0
27.0,C,20,0,0.0
27.0,D,15,5,0.0
32.77406508078007,A,19,1,0.0
32.77406508078007,B,16,4,0.0
32.77406508078007,C,20,0,0.0
32.77406508078007,D,14,6,0.0
36.0,A,19,1,0.003133594408072148
36.0,B,15,5,0.003133594408072148
36.0,C,20,0,0.003133594408072148
36.0,D,14,6,0.003133594408072148
40.0,A,19,1,0.011221033446457813
40.0,B,15,5,0.011221033446457813
40.0,C,20,0,0.011221033446457813
40.0,D,13,7,0.011221033446457813
41.955702664751094,A,19,1,6.764981530543246e-05
41.955702664751094,B,15,5,6.764981530543246e-05
41.955702664751094,C,20,0,6.764981530543246e-05
41.955702664751094,D,12,8,6.764981530543246e-05
45.0,A,19,1,0.0
45.0,B,15,5,0.0
45.0,C,19,1,0.0
45.0,D,12,8,0.0
45.52713214997868,A,19,1,0.0035905360691866474
45.52713214997868,B,14,6,0.0035905360691866474
45.52713214997868,C,19,1,0.0035905360691866474
45.52713214997868,D,12,8,0.0035905360691866474
47.60917082341248,A,19,1,0.0
47.60917082341248,B,14,6,0.0
47.60917082341248,C,19,1,0.0
47.60917082341248,D,11,9,0.0
48.06634114586469,A,19,1,0.013331055032707921
48.06634114586469,B,14,6,0.013331055032707921
48.06634114586469,C,19,1,0.013331055032707921
48.06634114586469,D,10,10,0.013331055032707921
50.0,A,18,2,0.0003495519655838223
50.0,B,14,6,0.0003495519655838223
50.0,C,19,1,0.0003495519655838223
50.0,D,10,10,0.0003495519655838223
53.0,A,18,2,0.00022398165921775647
53.0,B,14,6,0.00022398165921775647
53.0,C,18,2,0.00022398165921775647
53.0,D,10,10,0.00022398165921775647
53.00450362588148,A,18,2,0.0030937716041123577
53.00450362588148,B,13,7,0.0030937716041123577
53.00450362588148,C,18,2,0.0030937716041123577
53.00450362588148,D,10,10,0.0030937716041123577
54.610407490410736,A,18,2,0.031181424828248202
54.610407490410736,B,12,8,0.031181424828248202
54.610407490410736,C,18,2,0.031181424828248202
54.610407490410736,D,10,10,0.031181424828248202
55.220711445336235,A,18,2,0.00010127271251402733
55.220711445336235,B,12,8,0.00010127271251402733
55.220711445336235,C,17,3,0.00010127271251402733
55.220711445336235,D,10,10,0.00010127271251402733
56.43857444061899,A,17,3,8.545158844150623e-05
56.43857444061899,B,12,8,8.545158844150623e-05
56.43857444061899,C,17,3,8.545158844150623e-05
56.43857444061899,D,10,10,8.545158844150623e-05
57.60185304898489,A,17,3,0.014664160535978714
57.60185304898489,B,12,8,0.014664160535978714
57.60185304898489,C,17,3,0.014664160535978714
57.60185304898489,D,9,11,0.014664160535978714
58.83905659692129,A,17,3,0.02143060244348728
58.83905659692129,B,12,8,0.02143060244348728
58.83905659692129,C,17,3,0.02143060244348728
58.83905659692129,D,8,12,0.02143060244348728
59.19532116175135,A,16,4,9.047815246747718e-05
59.19532116175135,B,12,8,9.047815246747718e-05
59.19532116175135,C,17,3,9.047815246747718e-05
59.19532116175135,D,8,12,9.047815246747718e-05
59.51676709166169,A,16,4,0.031074574694145658
59.51676709166169,B,12,8,0.031074574694145658
59.51676709166169,C,16,4,0.031074574694145658
59.51676709166169,D,8,12,0.031074574694145658
62.0,A,15,5,0.06067181462108667
62.0,B,12,8,0.06067181462108667
62.0,C,16,4,0.06067181462108667
62.0,D,8,12,0.06067181462108667
62.546028304984105,A,15,5,0.03599668059992263
62.546028304984105,B,12,8,0.03599668059992263
62.546028304984105,C,15,5,0.03599668059992263
62.546028304984105,D,8,12,0.03599668059992263
63.0,A,15,5,0.033779876897268885
63.0,B,11,9,0.033779876897268885
63.0,C,15,5,0.033779876897268885
63.0,D,8,12,0.033779876897268885
64.0,A,15,5,0.03604478802066735
64.0,B,11,9,0.03604478802066735
64.0,C,15,5,0.03604478802066735
64.0,D,7,13,0.03604478802066735
65.37466035814444,A,15,5,0.041194043452191256
65.37466035814444,B,11,9,0.041194043452191256
65.37466035814444,C,15,5,0.041194043452191256
65.37466035814444,D,6,14,0.041194043452191256
65.45719377181051,A,15,5,0.038396459306584134
65.45719377181051,B,11,9,0.038396459306584134
65.45719377181051,C,14,6,0.038396459306584134
65.45719377181051,D,6,14,0.038396459306584134
65.95525771661448,A,14,6,0.06484351369569631
65.95525771661448,B,11,9,0.06484351369569631
65.95525771661448,C,14,6,0.06484351369569631
65.95525771661448,D,6,14,0.06484351369569631
66.0,A,14,6,0.0626579583189862
66.0,B,11,9,0.0626579583189862
66.0,C,13,7,0.0626579583189862
66.0,D,6,14,0.0626579583189862
66.33115121733931,A,14,6,0.004528411311864331
66.33115121733931,B,10,10,0.004528411311864331
66.33115121733931,C,13,7,0.004528411311864331
66.33115121733931,D,6,14,0.004528411311864331
68.0,A,14,6,0.0600872102382404
68.0,B,10,10,0.0600872102382404
68.0,C,13,7,0.0600872102382404
68.0,D,5,15,0.0600872102382404
69.00727712836442,A,14,6,0.0144890562372551
69.00727712836442,B,10,10,0.0144890562372551
69.00727712836442,C,13,7,0.0144890562372551
69.00727712836442,D,4,16,0.0144890562372551
69.01406420282088,A,14,6,0.009693750420707206
69.01406420282088,B,10,10,0.009693750420707206
69.01406420282088,C,13,7,0.009693750420707206
69.01406420282088,D,3,17,0.009693750420707206
69.15840397775126,A,14,6,0.023577369368427765
69.15840397775126,B,10,10,0.023577369368427765
69.15840397775126,C,12,8,0.023577369368427765
