request_id,request_type,node_id,node_type,runner,start_timestamp,completion_timestamp
5,2,0,PROMPT,a100-80gb_0,6.0,6.010057041490217
5,2,1,TOKEN,a100-80gb_0,6.010057041490217,16.258706470781704
241,2,0,PROMPT,a100-80gb_0,17.258706470781704,17.26873517757072
241,2,1,TOKEN,a100-80gb_0,17.26873517757072,18.273933202618498
241,2,0,PROMPT,a100-80gb_0,19.273933202618498,19.28399083576165
241,2,1,TOKEN,a100-80gb_0,19.28399083576165,29.33597108623944
29,2,0,PROMPT,a100-80gb_0,30.0,30.010044794274496
29,2,1,TOKEN,a100-80gb_0,30.010044794274496,36.718649004919456
241,2,0,PROMPT,a100-80gb_1,30.33597108623944,30.34600132350251
241,2,1,TOKEN,a100-80gb_1,30.34600132350251,37.46979602275416
241,2,0,PROMPT,a100-80gb_0,37.718649004919456,37.72868659378961
241,2,1,TOKEN,a100-80gb_0,37.72868659378961,40.88631952029839
241,2,0,PROMPT,a100-80gb_1,38.46979602275416,38.47984868601267
241,2,1,TOKEN,a100-80gb_1,38.47984868601267,41.276921451363016
241,2,0,PROMPT,a100-80gb_1,42.276921451363016,42.28697754620854
241,2,1,TOKEN,a100-80gb_1,42.28697754620854,43.80570064926986
241,2,0,PROMPT,a100-80gb_0,41.88631952029839,41.89634826683998
241,2,1,TOKEN,a100-80gb_0,41.89634826683998,46.43066544504463
241,2,0,PROMPT,a100-80gb_2,44.80570064926986,44.81573015773576
241,2,1,TOKEN,a100-80gb_2,44.81573015773576,50.825066177043134
241,2,0,PROMPT,a100-80gb_2,51.825066177043134,51.835126650120365
241,2,1,TOKEN,a100-80gb_2,51.835126650120365,53.23366303279553
241,2,0,PROMPT,a100-80gb_0,47.43616750156134,47.44621631969053
241,2,1,TOKEN,a100-80gb_0,47.44621631969053,54.66831380377251
43,2,0,PROMPT,a100-80gb_1,44.0,44.01006733625126
43,2,1,TOKEN,a100-80gb_1,44.01006733625126,54.68483331963909
46,2,0,PROMPT,a100-80gb_0,47.0,47.010050947465004
46,2,1,TOKEN,a100-80gb_0,47.010050947465004,55.2364692092343
241,2,0,PROMPT,a100-80gb_0,55.66831380377251,55.67836463290693
241,2,1,TOKEN,a100-80gb_0,55.67836463290693,60.23363950679097
241,2,0,PROMPT,a100-80gb_2,54.23366303279553,54.243733800633805
241,2,1,TOKEN,a100-80gb_2,54.243733800633805,61.99031423279549
241,2,0,PROMPT,a100-80gb_0,56.2364692092343,56.246508195285756
241,2,1,TOKEN,a100-80gb_0,56.246508195285756,62.79122142358597
241,2,0,PROMPT,a100-80gb_1,55.68483331963909,55.69486536968336
241,2,1,TOKEN,a100-80gb_1,55.69486536968336,66.23762508886863
56,2,0,PROMPT,a100-80gb_0,57.000418557154546,57.01046438151989
56,2,1,TOKEN,a100-80gb_0,57.01046438151989,67.30099375352412
241,2,0,PROMPT,a100-80gb_1,63.8020059630035,63.81204923188496
241,2,1,TOKEN,a100-80gb_1,63.81204923188496,67.3293584619866
66,2,0,PROMPT,a100-80gb_1,67.00244967314411,67.0125039581464
66,2,1,TOKEN,a100-80gb_1,67.0125039581464,67.85380960548979
241,2,0,PROMPT,a100-80gb_0,67.2472540176617,67.25728987649232
241,2,1,TOKEN,a100-80gb_0,67.25728987649232,69.69379155838638
241,2,0,PROMPT,a100-80gb_0,61.238837531838755,61.24887047944535
241,2,1,TOKEN,a100-80gb_0,61.24887047944535,69.96609464935096
241,2,0,PROMPT,a100-80gb_0,62.99031423279549,63.000382989013794
