request_id,request_type,node_id,node_type,runner,start_timestamp,completion_timestamp
2,2,0,PROMPT,a100-80gb_0,3.0,3.0100657387883403
2,2,1,TOKEN,a100-80gb_0,3.0100657387883403,11.827400588935706
457,2,0,PROMPT,a100-80gb_0,12.827400588935706,12.837470232633407
457,2,1,TOKEN,a100-80gb_0,12.837470232633407,16.486776106176432
15,2,0,PROMPT,a100-80gb_1,16.0,16.010055739853765
15,2,1,TOKEN,a100-80gb_1,16.010055739853765,19.69213980986574
457,2,0,PROMPT,a100-80gb_0,17.486776106176432,17.496812796858606
457,2,1,TOKEN,a100-80gb_0,17.496812796858606,21.73612620684272
457,2,0,PROMPT,a100-80gb_1,20.69213980986574,20.702178496521203
457,2,1,TOKEN,a100-80gb_1,20.702178496521203,25.5314994429464
457,2,0,PROMPT,a100-80gb_2,22.73612620684272,22.746156516985504
457,2,1,TOKEN,a100-80gb_2,22.746156516985504,27.083804516376464
21,2,0,PROMPT,a100-80gb_0,22.0,22.01006627127598
21,2,1,TOKEN,a100-80gb_0,22.01006627127598,28.28162786233495
30,2,0,PROMPT,a100-80gb_0,31.00705738378479,31.017134317261377
30,2,1,TOKEN,a100-80gb_0,31.017134317261377,31.071764404130377
457,2,0,PROMPT,a100-80gb_1,26.5314994429464,26.541547077154977
457,2,1,TOKEN,a100-80gb_1,26.541547077154977,33.15181669839309
457,2,0,PROMPT,a100-80gb_2,28.083804516376464,28.093863391990777
457,2,1,TOKEN,a100-80gb_2,28.093863391990777,37.38101905819308
457,2,0,PROMPT,a100-80gb_0,29.28162786233495,29.29166510190978
457,2,1,TOKEN,a100-80gb_0,29.29166510190978,37.6920492076847
457,2,0,PROMPT,a100-80gb_0,32.07696242917815,32.087002294925156
457,2,1,TOKEN,a100-80gb_0,32.087002294925156,38.68632116724282
457,2,0,PROMPT,a100-80gb_1,34.15181669839309,34.161846458625284
457,2,1,TOKEN,a100-80gb_1,34.161846458625284,38.93565155709773
457,2,0,PROMPT,a100-80gb_0,38.6920492076847,38.702079014294895
457,2,1,TOKEN,a100-80gb_0,38.702079014294895,39.52153392601863
36,2,0,PROMPT,a100-80gb_1,37.00262348593422,37.01267249930888
36,2,1,TOKEN,a100-80gb_1,37.01267249930888,39.96270171312481
457,2,0,PROMPT,a100-80gb_2,38.38101905819308,38.391074383889794
457,2,1,TOKEN,a100-80gb_2,38.391074383889794,40.303135844578506
457,2,0,PROMPT,a100-80gb_1,41.307323062841895,41.317356890769695
457,2,1,TOKEN,a100-80gb_1,41.317356890769695,41.87458377683351
457,2,0,PROMPT,a100-80gb_1,42.87978180188129,42.8898134595169
457,2,1,TOKEN,a100-80gb_1,42.8898134595169,43.501670432449714
457,2,0,PROMPT,a100-80gb_0,39.93565155709773,39.94570244539744
457,2,1,TOKEN,a100-80gb_0,39.94570244539744,46.654306656042394
457,2,0,PROMPT,a100-80gb_1,44.50686845749749,44.51690022445267
457,2,1,TOKEN,a100-80gb_1,44.51690022445267,47.93674366245216
457,2,0,PROMPT,a100-80gb_1,40.52153392601863,40.53157241307676
457,2,1,TOKEN,a100-80gb_1,40.53157241307676,48.76712463966554
457,2,0,PROMPT,a100-80gb_0,39.68632116724282,39.69636365407088
457,2,1,TOKEN,a100-80gb_0,39.69636365407088,50.129885652753686
457,2,0,PROMPT,a100-80gb_1,48.93674366245216,48.946772382492036
457,2,1,TOKEN,a100-80gb_1,48.946772382492036,55.79560582251197
457,2,0,PROMPT,a100-80gb_0,40.963787250870254,40.973842772427176
457,2,1,TOKEN,a100-80gb_0,50.129885652753686,56.42242655299543
457,2,0,PROMPT,a100-80gb_0,56.42242655299543,56.43245856045368
457,2,1,TOKEN,a100-80gb_0,56.43245856045368,58.64868348386304
457,2,0,PROMPT,a100-80gb_1,49.777153359705416,49.78718680340836
457,2,1,TOKEN,a100-80gb_1,49.78718680340836,59.859210462276174
53,2,0,PROMPT,a100-80gb_1,54.00462950969527,54.014672833465994
53,2,1,TOKEN,a100-80gb_1,54.014672833465994,60.30717717460198
457,2,0,PROMPT,a100-80gb_1,57.423582411208216,57.4336452870111
457,2,1,TOKEN,a100-80gb_1,57.4336452870111,60.8853856454774
457,2,0,PROMPT,a100-80gb_1,60.86440651457412,60.8744596281036
457,2,1,TOKEN,a100-80gb_1,60.8744596281036,61.51820730425028
457,2,0,PROMPT,a100-80gb_1,61.31150219957374,61.32153899152188
457,2,1,TOKEN,a100-80gb_1,61.32153899152188,62.314959515070306
457,2,0,PROMPT,a100-80gb_0,50.129885652753686,50.139938896446814
