application_id,response_times_mean,response_times_std,response_times_min,response_times_max,response_times_median,response_times_p50,response_times_p90,response_times_p95,response_times_p99,response_times_p999,response_times_geomean,queue_times_mean,queue_times_std,queue_times_min,queue_times_max,queue_times_median,queue_times_p50,queue_times_p90,queue_times_p95,queue_times_p99,queue_times_p999,queue_times_geomean,ttft_times_mean,ttft_times_std,ttft_times_min,ttft_times_max,ttft_times_median,ttft_times_p50,ttft_times_p90,ttft_times_p95,ttft_times_p99,ttft_times_p999,ttft_times_geomean,tbt_times_mean,tbt_times_std,tbt_times_min,tbt_times_max,tbt_times_median,tbt_times_p50,tbt_times_p90,tbt_times_p95,tbt_times_p99,tbt_times_p999,tbt_times_geomean,nth_token_overheads_mean,nth_token_overheads_std,nth_token_overheads_min,nth_token_overheads_max,nth_token_overheads_median,nth_token_overheads_p50,nth_token_overheads_p90,nth_token_overheads_p95,nth_token_overheads_p99,nth_token_overheads_p999,nth_token_overheads_geomean,prompt_sizes_mean,prompt_sizes_std,prompt_sizes_min,prompt_sizes_max,prompt_sizes_median,prompt_sizes_p50,prompt_sizes_p90,prompt_sizes_p95,prompt_sizes_p99,prompt_sizes_p999,prompt_sizes_geomean,token_sizes_mean,token_sizes_std,token_sizes_min,token_sizes_max,token_sizes_median,token_sizes_p50,token_sizes_p90,token_sizes_p95,token_sizes_p99,token_sizes_p999,token_sizes_geomean
westus_A_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.275606091885656,14.728959994345619,1.0,58.31411730731361,1.040345798444946,1.040345798444946,35.0656855778652,44.04658393185027,52.703136852888,57.753019261871074,2.738310378803557,9.385325957409203,14.732358194016987,1.0741031198392719,58.437274842229954,1.1485326921828118,1.1485326921828118,35.14419577280307,44.15774626460202,52.83557517342547,57.87710487534953,2.9363153017067796,-0.03721841638116278,0.07629147423377435,-0.43543547243741393,-0.0011146527811014839,-0.004571574957953687,-0.004571574957953687,-0.0012765773888631967,-0.00117484636086636,-0.001127647039564607,-0.001115952206947796,,4.364503266570518,10.750961282996057,0.0,51.63612551468168,0.0,0.0,18.677343974353292,26.913595466403024,50.06393714008599,51.47890667722212,0.0,444.3333333333333,293.1156306764617,15,990,421.0,421.0,858.4,881.5999999999999,972.9999999999998,988.3000000000001,302.1240383839169,499.84057971014494,296.46490239704116,9,994,500.0,500.0,916.4000000000001,958.4,987.1999999999999,993.32,363.03491410218226
westus_A_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.186182761075965,14.754603682975723,1.0,61.97339692781969,1.0304913965646563,1.0304913965646563,31.55327292952884,37.61368119009744,55.521523869314436,61.328209621969265,2.880938587446946,9.297074862370124,14.765414428890079,1.074246248715781,62.11682802355887,1.1366640324690422,1.1366640324690422,31.715520009822537,37.70314083832043,55.653946289019885,61.47053985010506,3.0709683406875947,-0.04319377731170505,0.11661431810525905,-0.663645430966902,-0.0011283372524069518,-0.004431553944857428,-0.004431553944857428,-0.0012440721519468077,-0.001165000977707866,-0.0011321385539054428,-0.001128717382556801,,4.237840748164334,7.789555335172539,0.0,33.12704590045769,0.0,0.0,14.61270802497967,17.917525223144345,28.905187939588252,32.70486010437081,0.0,474.375,298.321004749917,3,1005,464.0,464.0,926.4000000000002,966.0,996.32,1004.1320000000002,321.22927955119735,516.34375,302.62276531341377,35,992,449.5,449.5,952.9000000000001,971.45,985.8000000000001,991.3800000000001,395.2159375829673
westus_A_2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
westus_A_3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
westus_A_4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
westus_A_5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
westus_A_6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
westus_B_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0120574269391227,0.01666533821811469,1.0,1.054097149608424,1.0022763598085476,1.0022763598085476,1.0365392193329144,1.0493783257485312,1.0539233798838699,1.0540797726359685,1.0119220620535498,1.2055651922350457,0.0806506261827981,1.0773314049272447,1.3754807303073662,1.1871610708217304,1.1871610708217304,1.3143012036148094,1.3381939867846087,1.3665943123080793,1.3745920885074376,1.2028842038401393,-0.007595158266676189,0.009166770572855592,-0.035448684402678864,-0.0011220600808633482,-0.003157343273462049,-0.003157343273462049,-0.001365903858473727,-0.0011793828292967086,-0.001129936802497039,-0.001122847753026717,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531.3076923076923,287.94569946131213,47,1017,472.0,472.0,960.8000000000002,1012.1,1015.48,1016.848,429.1182414071208,436.79487179487177,315.9914944885165,32,1013,395.0,395.0,921.2000000000002,992.4,1006.54,1012.354,289.1329294350946
westus_B_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.081900676113733,0.0,1.081900676113733,1.081900676113733,1.081900676113733,1.081900676113733,1.081900676113733,1.081900676113733,1.081900676113733,1.081900676113733,1.081900676113733,-0.0018848443834734027,0.0,-0.0018848443834734027,-0.0018848443834734027,-0.0018848443834734027,-0.0018848443834734027,-0.0018848443834734027,-0.0018848443834734027,-0.0018848443834734027,-0.0018848443834734027,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,77,77,77.0,77.0,77.0,77.0,77.0,77.0,77.00000000000001,574.0,0.0,574,574,574.0,574.0,574.0,574.0,574.0,574.0,574.0000000000002
westus_B_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2725091228728758,0.0,1.2725091228728758,1.2725091228728758,1.2725091228728758,1.2725091228728758,1.2725091228728758,1.2725091228728758,1.2725091228728758,1.2725091228728758,1.2725091228728758,-0.0031342589233322063,0.0,-0.0031342589233322063,-0.0031342589233322063,-0.0031342589233322063,-0.0031342589233322063,-0.0031342589233322063,-0.0031342589233322063,-0.0031342589233322063,-0.0031342589233322063,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,911.0,0.0,911,911,911.0,911.0,911.0,911.0,911.0,911.0,910.9999999999999,406.0,0.0,406,406,406.0,406.0,406.0,406.0,406.0,406.0,405.99999999999994
